營業日期	帳單編號	購買時間	商品編號
20200413	2020041338	2020/4/14 00:33	7660148
20200413	2020041338	2020/4/14 00:33	9751022
20200413	2020041338	2020/4/14 00:33	7660148
20200413	2020041338	2020/4/14 00:33	7660148
20200413	2020041338	2020/4/14 00:33	7660148
20200413	2020041339	2020/4/14 00:49	7660100
20200413	2020041340	2020/4/14 01:55	9660069
20200413	2020041341	2020/4/14 02:09	9650041
20200413	2020041341	2020/4/14 02:09	9660075
20200413	2020041341	2020/4/14 02:09	4650013
20200413	2020041343	2020/4/14 02:25	7650044
20200413	2020041343	2020/4/14 02:25	7650044
20200413	2020041344	2020/4/14 02:39	7650044
20200413	2020041345	2020/4/14 03:17	7660100
20200413	2020041345	2020/4/14 03:17	7660134
20200413	2020041345	2020/4/14 03:17	7660100
20200413	2020041346	2020/4/14 03:50	9660075
20200413	2020041346	2020/4/14 03:50	9751022
20200413	2020041346	2020/4/14 03:50	9751009
20200413	2020041308	2020/4/13 02:17	9650041
20200413	2020041308	2020/4/13 02:17	9660075
20200413	2020041308	2020/4/13 02:17	9751009
20200413	2020041308	2020/4/13 02:17	7660134
20200413	2020041308	2020/4/13 02:17	1650022
20200413	2020041308	2020/4/13 02:17	4650016
20200413	2020041308	2020/4/13 02:17	7660134
20200413	2020041308	2020/4/13 02:17	4650032
20200413	2020041308	2020/4/13 02:17	7660134
20200413	2020041311	2020/4/13 03:02	7650003
20200413	2020041311	2020/4/13 03:02	9660060
20200413	2020041311	2020/4/13 03:02	9660075
20200413	2020041311	2020/4/13 03:02	4650006
20200413	2020041311	2020/4/13 03:02	9660060
20200413	2020041311	2020/4/13 03:02	7650003
20200413	2020041311	2020/4/13 03:02	7650003
20200413	2020041311	2020/4/13 03:02	4650006
20200413	2020041311	2020/4/13 03:02	7650003
20200413	2020041315	2020/4/13 04:01	1650022
20200413	2020041315	2020/4/13 04:01	9751022
20200413	2020041315	2020/4/13 04:01	9660069
20200413	2020041315	2020/4/13 04:01	680354
20200413	2020041315	2020/4/13 04:01	9751022
20200413	2020041315	2020/4/13 04:01	9751022
20200413	2020041315	2020/4/13 04:01	680354
20200413	2020041315	2020/4/13 04:01	9660060
20200413	2020041315	2020/4/13 04:01	9660075
20200413	2020041315	2020/4/13 04:01	9751022
20200413	2020041315	2020/4/13 04:01	6570028
20200413	2020041315	2020/4/13 04:01	9751022
20200413	2020041315	2020/4/13 04:01	4650014
20200413	2020041315	2020/4/13 04:01	4660071
20200413	2020041315	2020/4/13 04:01	680354
20200413	2020041315	2020/4/13 04:01	680354
20200413	2020041315	2020/4/13 04:01	4650032
20200413	2020041315	2020/4/13 04:01	7650003
20200413	2020041316	2020/4/13 05:02	7660134
20200413	2020041319	2020/4/13 05:28	9660075
20200413	2020041319	2020/4/13 05:28	4650006
20200413	2020041321	2020/4/13 08:40	7650003
20200413	2020041321	2020/4/13 08:40	7650003
20200413	2020041321	2020/4/13 08:40	4650016
20200413	2020041321	2020/4/13 08:40	7650003
20200413	2020041321	2020/4/13 08:40	4650016
20200413	2020041321	2020/4/13 08:40	7650003
20200413	2020041321	2020/4/13 08:40	7650003
20200413	2020041322	2020/4/13 09:17	7650044
20200413	2020041322	2020/4/13 09:17	9660060
20200413	2020041322	2020/4/13 09:17	7660062
20200413	2020041324	2020/4/13 09:49	7650044
20200413	2020041324	2020/4/13 09:49	7650044
20200413	2020041324	2020/4/13 09:49	7650044
20200413	2020041324	2020/4/13 09:49	7650044
20200413	2020041324	2020/4/13 09:49	7650044
20200413	2020041324	2020/4/13 09:49	4650016
20200413	2020041324	2020/4/13 09:49	7650044
20200413	2020041324	2020/4/13 09:49	7650044
20200413	2020041328	2020/4/13 11:01	9660075
20200413	2020041331	2020/4/13 12:52	9660060
20200413	2020041332	2020/4/13 12:53	4650016
20200413	2020041333	2020/4/13 13:03	7650044
20200413	2020041333	2020/4/13 13:03	7650044
20200413	2020041333	2020/4/13 13:03	7650044
20200413	2020041334	2020/4/13 13:29	4650014
20200413	2020041334	2020/4/13 13:29	9751009
20200413	2020041334	2020/4/13 13:29	1650022
20200413	2020041334	2020/4/13 13:29	9660075
20200413	2020041334	2020/4/13 13:29	2650026
20200413	2020041335	2020/4/13 13:35	4660092
20200413	2020041335	2020/4/13 13:35	7690393
20200413	2020041335	2020/4/13 13:35	4660092
20200413	2020041350	2020/4/13 13:59	7690393
